page,country,rev_id,prediction
Caleb Crosby,United States,792857662,
Draft:John Johansson i Gränö,Sweden,792933603,
Tibor Gaal de Hatvan,Hungary,793280504,
Chukwuemeka Ihedioha,Nigeria,794311724,
Gregorei Alexandrovich,Russia,794409906,
List of Ghana heads of state by age,Ghana,794866848,
Alfred Moungara Moussotsi,Gabon,794990759,
Fraz Wahlah,Pakistan,795588781,
Hovik Jivanyan,Armenia,796744496,
Stanford Morse,United States,796758810,
Dan Hilton,Canada,797311794,
Volodymyr Manzhosov,Ukraine,797902544,
Jesse Spikes,United States,798615865,
Maria Hadjipavlou,Cyprus,798891126,
Darcie Lanthier,Canada,798952867,
V. Sadasivan,India,799263010,
Mohd Eekmal Ahmad,Malaysia,799540668,
Raja Muhammad Akbar Khan,Pakistan,799880073,
Rich Eychaner,United States,799933274,
Michael McInerney,Ireland,800072571,
Craig Huey,United States,800144885,
Donald Jeffrey Large,United States,800299837,
Dragan Klaric,Sweden,800471126,
Bashir Ahmed Sarki,Pakistan,800574730,
Siddique Nazmul Alam,Bangladesh,800707821,
Georges Sada,Iraq,801177435,
Anwara Ali,United Kingdom,801306872,
Secular and Nationalist Jinnah,Pakistan,801536406,
Ambedkarism,India,801563949,
Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,
Abhijit Pandya,United Kingdom,801696196,
Ouyang Xiu,China,801835819,
Ali Asghar Khan (politician),Pakistan,802148439,
List of politicians on Veep,United States,802302246,
Daniel O'Neill (Royalist),Ireland,802445176,
Ananda Syahendar Perdana,Indonesia,802475516,
Ezatullah Mujahid,Afghanistan,802515929,
Maciej Filip Zegarski,Poland,802765034,
Bernard Binlin Dadié,Ivorian,802904214,
Than Htay,Myanmar,802937732,
Anatoliy Peshko,Ukraine,803413615,
Kevin Hardwick,United States,803484030,
David Sparrow,Canada,803784385,
Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,
João Victor Guedes,Brazil,804118645,
Kampa Borgoyary,India,804158476,
Lucia Lucchesi-Ghiselli,Italy,804473605,
